Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
Test Case,BNM_PaymentAgreement_Create_DirectDebit_Portal,1,Prepare claim with AmountOpen > 0,Claim should be available,TIM,,Design
Test Case,BNM_PaymentAgreement_Create_DirectDebit_Portal,2,Create Payment Agreement via portal for this claim (Prepare PA - PA Portal),PA should be created with DD configuration,TIM,,Design
Test Case,BNM_PaymentAgreement_Create_DirectDebit_Portal,3,Execute SQL: Exec CreateDirectDebitFromSettlement @SettlementID,DD should be created successfully,TIM,,Design
Test Case,BNM_PaymentAgreement_Pay_Term_Success,1,Use TC from Predecessor,PA Term should be created,TIM,,Design
Test Case,BNM_PaymentAgreement_Pay_Term_Success,2,Execute SQL: Exec ProcessDirectDebitPayments,Term should be paid,TIM,,Design
Test Case,BNM_PaymentAgreement_Reject_Term_Failed,1,Use TC from Predecessor,PA Term should be created,TIM,,Design
Test Case,BNM_PaymentAgreement_Reject_Term_Failed,2,Execute SQL: Exec RejectDirectDebit @DirectDebitPaymentID,Term should be rejected,TIM,,Design
Test Case,BNM_PaymentAgreement_Break_AfterRejection,1,Use TC from Predecessor,PA Term should be rejected,TIM,,Design
Test Case,BNM_PaymentAgreement_Break_AfterRejection,2,Check PA status in system,PA should be broken,TIM,,Design
Test Case,BNM_Acquisition_Create_DirectDebit_AP304,1,Prepare AP304 file with valid DD prerequisites,AP304 file ready,TIM,,Design
Test Case,BNM_Acquisition_Create_DirectDebit_AP304,2,Import AP304 file into system,File imported successfully,TIM,,Design
Test Case,BNM_Acquisition_Create_DirectDebit_AP304,3,Execute SQL: Exec CreateDirectDebitFromAcquisition @AcquisitionID,DD should be created for acquisition,TIM,,Design
Test Case,BNM_Acquisition_Pay_DirectDebit_Success,1,Use TC from Predecessor,DD should be created,TIM,,Design
Test Case,BNM_Acquisition_Pay_DirectDebit_Success,2,Execute SQL: Exec ProcessDirectDebitPayments,DD should be paid successfully,TIM,,Design
Test Case,BNM_Acquisition_Reject_DirectDebit_Failed,1,Use TC from Predecessor,DD should be created,TIM,,Design
Test Case,BNM_Acquisition_Reject_DirectDebit_Failed,2,Execute SQL: Exec RejectDirectDebit @DirectDebitPaymentID,DD should be rejected,TIM,,Design
Test Case,BNM_Acquisition_Retry_DirectDebit_AfterRejection,1,Use TC from Predecessor,DD should be rejected,TIM,,Design
Test Case,BNM_Acquisition_Retry_DirectDebit_AfterRejection,2,Execute SQL: Exec RetryDirectDebit @DirectDebitPaymentID,DD should be retried and paid,TIM,,Design
Test Case,BNM_BAInvoice_Create_DirectDebit_Success,1,Set up BA with Monthly Subscription,BA with subscription ready,TIM,,Design
Test Case,BNM_BAInvoice_Create_DirectDebit_Success,2,Create invoice for BA,Invoice created,TIM,,Design
Test Case,BNM_BAInvoice_Create_DirectDebit_Success,3,Execute SQL: Exec CreateDirectDebitFromInvoice @InvoiceID,DD created for invoice,TIM,,Design
Test Case,BNM_BAInvoice_Pay_DirectDebit_Success,1,Use TC from Predecessor,DD should be created,TIM,,Design
Test Case,BNM_BAInvoice_Pay_DirectDebit_Success,2,Execute SQL: Exec ProcessDirectDebitPayments,DD should be paid successfully,TIM,,Design
Test Case,BNM_BAInvoice_Reject_DirectDebit_Failed,1,Use TC from Predecessor,DD should be created,TIM,,Design
Test Case,BNM_BAInvoice_Reject_DirectDebit_Failed,2,Execute SQL: Exec RejectDirectDebit @DirectDebitPaymentID,DD should be rejected,TIM,,Design
Test Case,BNM_BAInvoice_Pay_Manual_BeforeBatchDD,1,Use TC from Predecessor (BA Invoice - Create DD),DD should be created,TIM,,Design
Test Case,BNM_BAInvoice_Pay_Manual_BeforeBatchDD,2,Pay invoice manually before batch DD runs,Invoice paid manually,TIM,,Design
Test Case,BNM_BAInvoice_Pay_Manual_BeforeBatchDD,3,Execute batch DD process,DD should be skipped (already paid),TIM,,Design
Test Case,BNM_BAInvoice_Pay_Standard_BeforeBatchDD,1,Use TC from Predecessor (BA Invoice - Create DD),DD should be created,TIM,,Design
Test Case,BNM_BAInvoice_Pay_Standard_BeforeBatchDD,2,Create standard payment for invoice,Standard payment created,TIM,,Design
Test Case,BNM_BAInvoice_Pay_Standard_BeforeBatchDD,3,Execute batch DD process,DD should be skipped (already paid),TIM,,Design
Test Case,BNM_Patient_Create_DirectDebit_Portal,1,Create patient claim with AmountOpen > 0,Patient claim available,TIM,,Design
Test Case,BNM_Patient_Create_DirectDebit_Portal,2,Patient logs into portal and creates DD,DD created via patient portal,TIM,,Design
Test Case,BNM_Patient_Pay_DirectDebit_Success,1,Use TC from Predecessor,DD should be created,TIM,,Design
Test Case,BNM_Patient_Pay_DirectDebit_Success,2,Execute SQL: Exec ProcessDirectDebitPayments,DD paid successfully,TIM,,Design
Test Case,BNM_Patient_Reject_DirectDebit_Failed,1,Use TC from Predecessor,DD should be created,TIM,,Design
Test Case,BNM_Patient_Reject_DirectDebit_Failed,2,Execute SQL: Exec RejectDirectDebit @DirectDebitPaymentID,DD rejected,TIM,,Design
Test Case,BNM_Credit_Create_Installment_DirectDebit,1,Create credit claim with installments,Credit claim with installments ready,TIM,,Design
Test Case,BNM_Credit_Create_Installment_DirectDebit,2,Execute SQL: Exec CreateDirectDebitForInstallment @InstallmentID,DD created for installment,TIM,,Design
Test Case,BNM_Credit_Pay_Installment_Success,1,Use TC from Predecessor,DD should be created,TIM,,Design
Test Case,BNM_Credit_Pay_Installment_Success,2,Execute SQL: Exec ProcessDirectDebitPayments,Installment paid via DD,TIM,,Design
Test Case,BNM_Credit_Reject_Installment_Failed,1,Use TC from Predecessor,DD should be created,TIM,,Design
Test Case,BNM_Credit_Reject_Installment_Failed,2,Execute SQL: Exec RejectDirectDebit @DirectDebitPaymentID,Installment DD rejected,TIM,,Design
Test Case,BNM_Claim_Pay_Standard_Payment,1,Create claim with AmountOpen > 0,Claim ready for payment,TIM,,Design
Test Case,BNM_Claim_Pay_Standard_Payment,2,Create standard payment for claim,Standard payment created and matched,TIM,,Design
Test Case,BNM_IR_Pay_Standard_Payment,1,Create insurance receivable with open amount,IR ready for payment,TIM,,Design
Test Case,BNM_IR_Pay_Standard_Payment,2,Create standard payment for IR,Standard payment created and matched,TIM,,Design
Test Case,BNM_Helper_Confirm_DirectDebit_Payment,1,Create DD payment entry,DD payment created,TIM,,Design
Test Case,BNM_Helper_Confirm_DirectDebit_Payment,2,Execute SQL: Exec ConfirmDirectDebitPayment @DirectDebitPaymentID,DD payment confirmed,TIM,,Design
Test Case,BNM_Helper_Reject_DirectDebit_Payment,1,Create DD payment entry,DD payment created,TIM,,Design
Test Case,BNM_Helper_Reject_DirectDebit_Payment,2,Execute SQL: Exec RejectDirectDebit @DirectDebitPaymentID,DD payment rejected,TIM,,Design
Test Case,BNM_Helper_Process_DirectDebit_WrongAmount,1,Create DD payment entry,DD payment created,TIM,,Design
Test Case,BNM_Helper_Process_DirectDebit_WrongAmount,2,Execute SQL: Exec ProcessDirectDebitWithAmount @DirectDebitPaymentID @WrongAmount,DD processed with incorrect amount,TIM,,Design
Test Case,BNM_Portal_Create_Account_WithoutInvoice,1,Patient accesses portal registration,Portal registration page displayed,TIM,,Design
Test Case,BNM_Portal_Create_Account_WithoutInvoice,2,Patient creates account without invoice number,Account created successfully,TIM,,Design
Test Case,BNM_Portal_Create_Account_WithInvoice,1,Prepare invoice for patient,Invoice ready,TIM,,Design
Test Case,BNM_Portal_Create_Account_WithInvoice,2,Patient creates account with invoice number,Account created and linked to invoice,TIM,,Design
Test Case,BNM_Portal_Link_Claim_Account,1,Use TC from Predecessor (Create Account),Account should exist,TIM,,Design
Test Case,BNM_Portal_Link_Claim_Account,2,Create claim for patient,Claim created,TIM,,Design
Test Case,BNM_Portal_Link_Claim_Account,3,Link claim to patient portal account,Claim linked successfully,TIM,,Design
